startId,finishId,vkId,vote
-95,-1001,4497215,8
-95,-1001,5197119,1
-95,-1001,8025376,5
-95,-1001,54969569,5
-95,-1001,56109258,8
-95,-1001,191586127,3
-95,-1001,546424498,3
-95,-1000,4497215,3
-95,-1000,5197119,3
-95,-1000,8025376,3
-95,-1000,54969569,3
-95,-1000,56109258,8
-95,-1000,191586127,3
-95,-1000,546424498,13
-95,-999,4497215,1
-95,-999,5197119,1
-95,-999,8025376,13
-95,-999,54969569,8
-95,-999,56109258,8
-95,-999,191586127,13
-95,-999,546424498,1
-95,-998,4497215,3
-95,-998,5197119,1
-95,-998,8025376,8
-95,-998,54969569,13
-95,-998,56109258,1
-95,-998,191586127,13
-95,-998,546424498,13
-94,-1009,4497215,1
-94,-1009,5197119,1
-94,-1009,8025376,8
-94,-1009,56109258,1
-94,-1008,4497215,1
-94,-1008,5197119,1
-94,-1008,8025376,8
-94,-1008,56109258,1
-94,-1007,4497215,1
-94,-1007,5197119,1
-94,-1007,8025376,1
-94,-1007,56109258,1
-94,-1006,4497215,1
-94,-1006,5197119,3
-94,-1006,8025376,3
-94,-1006,56109258,8
-94,-1005,4497215,3
-94,-1005,5197119,3
-94,-1005,8025376,1
-94,-1005,56109258,1
-94,-1004,4497215,1
-94,-1004,5197119,3
-94,-1004,8025376,5
-94,-1004,56109258,3
-93,-988,2204686,8
-93,-988,5197119,3
-93,-988,8025376,5
-93,-988,9016887,5
-93,-988,18486664,8
-93,-988,34957710,5
-93,-988,54969569,1
-93,-988,56109258,1
-93,-988,75449515,3
-93,-988,146165319,3
-93,-988,161933950,1
-93,-988,191586127,5
-93,-988,229385601,8
-93,-988,377799104,1
-93,-988,546424498,13
-93,-987,2204686,1
-93,-987,5197119,1
-93,-987,8025376,13
-93,-987,9016887,3
-93,-987,18486664,3
-93,-987,34957710,1
-93,-987,54969569,1
-93,-987,56109258,1
-93,-987,146165319,1
-93,-987,161933950,1
-93,-987,191586127,13
-93,-987,229385601,8
-93,-987,377799104,1
-93,-987,546424498,8
-93,-986,2204686,5
-93,-986,5197119,5
-93,-986,8025376,8
-93,-986,9016887,3
-93,-986,18486664,8
-93,-986,34957710,3
-93,-986,54969569,1
-93,-986,56109258,5
-93,-986,75449515,3
-93,-986,146165319,1
-93,-986,161933950,1
-93,-986,191586127,1
-93,-986,229385601,3
-93,-986,377799104,1
-93,-986,546424498,5
-93,-985,2204686,5
-93,-985,5197119,3
-93,-985,8025376,3
-93,-985,9016887,3
-93,-985,18486664,5
-93,-985,34957710,5
-93,-985,54969569,3
-93,-985,56109258,3
-93,-985,75449515,5
-93,-985,146165319,1
-93,-985,161933950,1
-93,-985,191586127,1
-93,-985,229385601,3
-93,-985,377799104,1
-93,-985,546424498,5
-92,-984,2204686,3
-92,-984,5197119,3
-92,-984,7810952,3
-92,-984,8025376,8
-92,-984,9016887,5
-92,-984,18486664,1
-92,-984,34957710,3
-92,-984,56109258,5
-92,-984,75449515,13
-92,-984,98358035,3
-92,-984,164941823,8
-92,-984,229385601,5
-92,-983,2204686,8
-92,-983,5197119,1
-92,-983,7810952,3
-92,-983,8025376,5
-92,-983,9016887,8
-92,-983,34957710,5
-92,-983,56109258,1
-92,-983,75449515,5
-92,-983,164941823,1
-92,-983,229385601,3
-92,-982,2204686,5
-92,-982,5197119,1
-92,-982,7810952,5
-92,-982,8025376,13
-92,-982,9016887,3
-92,-982,18486664,5
-92,-982,34957710,8
-92,-982,56109258,1
-92,-982,75449515,3
-92,-982,146165319,1
-92,-982,164941823,8
-92,-982,229385601,8
-92,-981,2204686,5
-92,-981,5197119,5
-92,-981,7810952,3
-92,-981,8025376,3
-92,-981,9016887,3
-92,-981,18486664,5
-92,-981,34957710,3
-92,-981,56109258,1
-92,-981,75449515,13
-92,-981,98358035,3
-92,-981,164941823,5
-92,-981,229385601,1
-92,-980,2204686,5
-92,-980,5197119,3
