vkId,finishLimit
117688746,3
118063168,2
118134921,8
119035960,4
119570939,4
119636345,6
119657457,14
121258624,3
123136424,2
124954123,3
125298665,3
125325904,4
125370728,3
125399833,2
126346942,4
126964467,2
129649239,5
129892466,2
130496505,4
131970466,3
133418340,3
133961104,3
134088596,2
134356429,3
134369628,3
134824341,2
134854036,5
134921008,6
134937288,3
134945842,3
135448926,3
136668374,3
137370434,4
137743771,3
138118473,4
138622921,3
138853552,3
139050040,3
140604732,3
140671877,2
140943127,3
141407556,2
141843029,3
141948556,10
142054497,4
142106749,4
142931364,12
143405556,5
143414831,3
143560205,2
143795914,3
144349220,3
144524006,2
145133335,3
145446407,3
145514883,3
145697420,3
146044619,3
146071548,3
146165319,3
146283111,3
146689528,3
147427808,2
147736000,3
147738099,3
148079499,3
148987152,3
149124057,3
151078763,3
151366465,3
151394719,3
151807709,3
152213622,4
152477034,3
152489729,3
152910799,3
153398558,4
153428845,8
153738881,3
153941643,3
154582943,1
155178685,3
155894091,3
156825159,3
157041502,3
157419671,3
157543481,5
157785261,4
159308150,4
159518321,3
159868182,3
160958633,11
161933950,3
162118630,3
162477476,2
163965745,3
164089476,3
164742899,2
165938320,1
166201798,1
169550757,3
169738128,4
169864557,3
170648593,3
171994438,4
172032981,2
172373673,3
173330574,3
173996870,3
174117783,3
174364672,3
174670628,2
174794936,3
175077796,5
175761648,3
175819067,3
175971718,2
176059762,3
176097759,3
176161256,2
176378051,3
178063922,3
179038486,3
179458820,3
179463221,3
179555460,4
180021391,4
180085210,3
180101570,3
181336457,5
181485186,4
182052941,3
182377104,3
182461514,4
182496323,2
183030493,4
183525957,4
184504116,3
185169953,3
185222786,3
185687800,3
186964019,3
187268121,5
187714222,1
190062085,3
190551989,3
191088684,1
191137381,3
191586127,2
191642497,3
191752553,3
192340618,2
193350031,3
194231323,3
194558478,5
195867771,2
196695652,3
199009140,3
200728660,3
200775633,3
201484622,3
201608425,5
203635917,3
203798542,3
204000969,13
204228330,2
205438527,3
205533100,3
205832943,3
206523047,3
207019875,2
207551695,2
207662082,1
207888903,3
210390849,3
210700077,3
210883392,4
